longitude,latitude,Indri_indri cloglog values
46.5833333333333,-23.4166666666667,7.447595E-4
46.0833333333333,-18.5833333333333,1.2344508E-7
45.9166666666667,-16.75,1.2775779E-5
49.25,-13.4166666666667,4.6210666E-6
48.0833333333333,-14.0833333333333,2.54117E-6
45.25,-24.0833333333333,2.7470765E-6
48.0833333333333,-20.9166666666667,8.7277E-4
43.75,-21.25,4.2684114E-8
43.25,-11.75,1.15546565E-4
44.9166666666667,-18.75,1.353415E-6
49.5833333333333,-15.25,0.0012611554
47.9166666666667,-21.75,9.699404E-4
46.9166666666667,-15.75,4.2721112E-7
46.4166666666667,-18.25,1.6006206E-7
47.75,-14.25,5.400973E-5
44.0833333333333,-20.9166666666667,7.850634E-8
46.9166666666667,-20.0833333333333,2.2879305E-4
48.75,-13.5833333333333,1.545653E-4
49.4166666666667,-14.4166666666667,1.2739726E-4
44.25,-24.0833333333333,7.187596E-6
48.9166666666667,-17.5833333333333,1.9307726E-4
46.4166666666667,-24.4166666666667,6.954323E-6
45.25,-22.25,2.1121524E-8
44.4166666666667,-18.0833333333333,4.3496084E-6
43.9166666666667,-21.25,4.3983658E-8
44.4166666666667,-12.25,6.559208E-5
46.4166666666667,-21.75,1.8826764E-6
43.9166666666667,-20.9166666666667,2.6191717E-7
47.75,-22.75,4.76863E-6
48.25,-13.9166666666667,9.1783084E-5
48.9166666666667,-13.75,4.7857688E-5
49.5833333333333,-15.0833333333333,0.0010973979
45.9166666666667,-20.75,8.363197E-8
45.9166666666667,-25.25,1.2591072E-6
40.0833333333333,-14.75,4.7239205E-6
47.5833333333333,-23.4166666666667,7.943805E-5
46.4166666666667,-24.9166666666667,3.1144623E-7
45.5833333333333,-22.0833333333333,1.6080457E-7
45.0833333333333,-21.0833333333333,8.58391E-9
46.25,-25.0833333333333,3.237896E-7
55.4166666666667,-20.9166666666667,4.0181773E-9
49.0833333333333,-14.5833333333333,2.715055E-5
48.5833333333333,-12.25,1.5606143E-7
44.25,-22.4166666666667,1.6194487E-7
44.4166666666667,-21.25,8.768822E-9
55.5833333333333,-21.4166666666667,8.319164E-10
44.25,-21.9166666666667,2.2664661E-8
45.9166666666667,-19.25,9.82483E-8
40.5833333333333,-13.0833333333333,6.6476787E-7
47.25,-19.4166666666667,2.6295822E-6
46.25,-22.5833333333333,6.102515E-6
49.5833333333333,-13.0833333333333,2.5952884E-6
45.5833333333333,-22.25,2.1044829E-7
