X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
48.582275,-18.940912,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.568315,-18.854088,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.476144,-18.99205,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.487546,-18.982507,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.421582,-18.995769,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.577846,-18.886407,train,0.058781793751926326,35.927115872084805,0.3686633554723162
47.863053,-18.500261,train,7.264990187347351E-5,0.9884558226962986,5.682603270402709E-4
48.505397,-18.843832,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.44184,-18.995113,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.405754,-18.978298,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.48653,-18.975644,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.569145,-18.810248,train,0.005651408134073862,13.0788986523952,0.04325398380893941
48.431362,-18.83148,train,0.048708420458935295,24.74528916376012,0.31689092096447424
48.453436,-18.993707,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.466827,-18.990413,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.430761,-18.841453,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.567739,-18.9639,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.518239,-18.811668,train,0.005651408134073862,13.0788986523952,0.04325398380893941
49.264927,-18.685184,train,4.273028803394914E-4,3.097415855600926,0.0033376882575052447
48.580693,-18.981276,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.560493,-18.845755,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.560745,-18.936163,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.534527,-18.919479,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.418406,-18.923142,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.528937,-18.962636,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.43587,-18.867062,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.599478,-18.936155,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.435486,-18.968699,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.498144,-18.95898,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.575631,-18.838183,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.400744,-18.802289,train,0.048708420458935295,24.74528916376012,0.31689092096447424
48.404801,-18.878911,train,0.05303678794504243,30.04892811880906,0.33963753859690204
49.014918,-18.661442,train,0.0019097508761776632,11.12300369121262,0.014831048207112896
48.465608,-18.910673,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.445186,-18.903889,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.55329,-18.942737,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.537082,-18.966619,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.560794,-18.991234,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.437102,-18.881033,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.560108,-18.901128,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.448652,-18.872798,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.454637,-18.927041,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.517768,-18.924037,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.4142,-18.931788,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.411749,-18.907969,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.572689,-18.906723,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.534384,-18.924132,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.510055,-18.879631,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.428021,-18.928072,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.536111,-18.955021,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.475683,-18.903881,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.567646,-18.819651,train,0.005651408134073862,13.0788986523952,0.04325398380893941
48.460822,-18.90114,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.542652,-18.849366,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.532651,-18.951796,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.4929,-18.97762,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.537955,-18.971505,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.583256,-18.962873,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.448402,-18.88174,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.571309,-18.876328,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.401112,-18.93731,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.56194,-18.871437,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.570039,-18.994064,train,0.058781793751926326,35.927115872084805,0.3686633554723162
48.431481,-18.937238,train,0.05303678794504243,30.04892811880906,0.33963753859690204
49.293423,-18.42457,train,1.7141393933369665E-6,0.03132459096771826,1.341154940304179E-5
48.416554,-18.945849,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.457014,-18.938493,train,0.05303678794504243,30.04892811880906,0.33963753859690204
48.424403,-19.092269,train,0.010019284126567808,16.681473041990067,0.07539820162770228
48.585053,-18.88401,train,0.058781793751926326,35.927115872084805,0.3686633554723162
