"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",48.9166666666667,-19.75,23.956844329834,8.38035774230957,59.2251358032227,227.028396606445,30.5142860412598,16.3642845153809,14.1500015258789,26.5142860412598,23.3309516906738,26.5142860412598,21.0976181030273,2747,427,76,47.7727203369141,1154,315,1154,562
"background",46.75,-20.75,17.2186985015869,12.1630630493164,64.295295715332,258.369873046875,25.8597507476807,6.94224977493286,18.917501449585,19.7917499542236,13.6077499389648,19.7917499542236,13.6077499389648,1294,287,10,100.167190551758,781,35,781,35
"background",45.9166666666667,-22.75,20.8812503814697,13.0839166641235,62.301399230957,280.813751220703,30.7189998626709,9.7180004119873,21.0009994506836,23.5271244049072,16.9722499847412,23.6202507019043,16.9722499847412,817,207,3,110.153015136719,545,13,486,13
"background",45.4166666666667,-18.4166666666667,21.648458480835,12.2910833358765,66.4616394042969,188.553421020508,29.6940002441406,11.2004995346069,18.4934997558594,23.0782508850098,18.8580417633057,23.1897926330566,18.8580417633057,1654,387,4,105.775543212891,1025,18,857,18
"background",47.4166666666667,-23.4166666666667,23.1259899139404,10.417854309082,61.2986221313477,251.800582885742,30.599250793457,13.6040000915527,16.9952507019043,25.8566246032715,21.4814167022705,25.8566246032715,19.7682914733887,2159,361,69,60.4815292358398,1014,259,1014,309
"background",45.5833333333333,-25.0833333333333,23.632926940918,12.7496452331543,63.2117195129395,306.8310546875,32.6474990844727,12.4777498245239,20.169750213623,26.9195823669434,20.4340000152588,26.9195823669434,19.6007499694824,514,102,10,76.756103515625,281,35,281,56
"background",47.9166666666667,-17.0833333333333,21.9790096282959,12.8113536834717,68.1863098144531,216.495346069336,30.994499206543,12.2057504653931,18.7887496948242,24.0561676025391,18.9827919006348,24.0561676025391,18.9827919006348,1283,346,3,119.385711669922,862,12,862,12
"background",44.9166666666667,-24.4166666666667,24.0323028564453,15.3455619812012,66.5419082641602,317.8349609375,34.3092498779297,11.2477502822876,23.0615005493164,27.2869167327881,20.7112922668457,27.2869167327881,19.7198753356934,612,143,5,99.0032348632812,387,21,387,29
"background",45.75,-22.0833333333333,21.1252403259277,12.8452291488647,61.5310859680176,274.986663818359,31.0322494506836,10.15625,20.8759994506836,23.6536254882812,17.2489166259766,23.8058738708496,17.2489166259766,846,228,2,115.310806274414,583,9,510,9
"background",47.9166666666667,-18.75,18.2506465911865,10.8936672210693,63.9412231445312,262.922180175781,26.005500793457,8.9685001373291,17.0370006561279,20.8467082977295,14.786208152771,20.874584197998,14.7239999771118,1442,309,24,92.4499588012695,845,83,794,90
"background",44.5833333333333,-23.25,24.2066555023193,16.1197280883789,67.1669311523438,294.332641601562,34.8562507629395,10.8567495346069,23.9995002746582,27.0087070465088,20.9511661529541,27.0087070465088,20.044792175293,698,177,4,106.291725158691,451,19,451,20
"background",48.75,-16.9166666666667,19.0879173278809,10.9099168777466,64.6734008789062,253.176254272461,27.1949996948242,10.3257503509521,16.8692493438721,21.6761245727539,17.0014572143555,21.7928333282471,15.8640413284302,1293,279,19,89.5399932861328,732,89,720,107
"background",48.0833333333333,-15.25,25.705020904541,12.202166557312,69.3935775756836,174.010330200195,33.922248840332,16.338249206543,17.5839996337891,27.0374164581299,23.1993751525879,27.2559585571289,23.1993751525879,1598,470,1,127.370307922363,1139,5,843,5
"background",47.0833333333333,-21.4166666666667,18.500280380249,10.7256870269775,61.9865455627441,263.096588134766,26.3645000457764,9.06124973297119,17.3032493591309,21.2155418395996,14.8442077636719,21.2155418395996,14.8442077636719,1211,249,23,90.409782409668,706,71,706,71
"background",46.5833333333333,-20.0833333333333,17.7214889526367,12.4104375839233,65.7167205810547,244.872024536133,26.2959995269775,7.41125011444092,18.8847503662109,20.099458694458,14.2799587249756,20.099458694458,14.2799587249756,1453,326,7,101.030738830566,880,23,880,23
"background",47.5833333333333,-21.4166666666667,21.1207294464111,9.47020816802979,60.1731986999512,249.190719604492,28.2877502441406,12.5495004653931,15.7382497787476,23.7471256256104,19.3596248626709,23.8141670227051,17.8261241912842,2234,407,59,71.9731140136719,1153,206,1083,263
"background",46.25,-19.25,22.7170734405518,13.1881046295166,68.128288269043,190.874893188477,30.9937496185303,11.6359996795654,19.3577499389648,24.2177925109863,20.0761661529541,24.4556674957275,20.0761661529541,1466,326,6,104.838691711426,894,19,876,19
"background",44.25,-18.25,26.1308841705322,12.0351867675781,67.1316146850586,175.392959594727,33.6807479858398,15.7530002593994,17.9277477264404,27.5542907714844,23.5710411071777,27.7285823822021,23.5710411071777,1158,331,2,121.674606323242,810,10,616,10
"background",48.9166666666667,-13.0833333333333,26.6888656616211,10.2776889801025,69.3900909423828,128.38801574707,33.3047981262207,18.4933338165283,14.8114643096924,27.4842662811279,25.0065784454346,27.7168884277344,24.8316879272461,1781,460,15,113.174530029297,1172,45,839,49
"background",46.9166666666667,-22.25,16.3761768341064,9.99277019500732,61.073974609375,258.881042480469,23.9169998168945,7.55525016784668,16.3617496490479,19.0538749694824,13.4983749389648,19.0538749694824,12.8286247253418,1242,269,21,95.0789260864258,748,67,748,71
"background",48.5833333333333,-12.25,26.6166667938232,7.03333330154419,66.3521957397461,130.302673339844,31.5,20.8999996185303,10.6000003814697,27.7333335876465,25.3666667938232,27.783332824707,24.8500003814697,1409,367,15,106.415794372559,907,62,644,69
"background",40.4166666666667,-15.0833333333333,25.2119483947754,11.0570211410522,70.2747039794922,165.620635986328,32.4109992980957,16.6770000457764,15.7339992523193,26.6224575042725,24.5062923431396,26.8181247711182,22.902458190918,925,187,4,93.186279296875,549,36,355,58
"background",47.5833333333333,-20.9166666666667,20.5284690856934,10.0707292556763,61.5899696350098,255.708587646484,28.0049991607666,11.6537504196167,16.3512496948242,23.1431255340576,18.7582092285156,23.2544174194336,17.1244163513184,2091,386,57,73.2962646484375,1059,185,1022,224
"background",46.4166666666667,-19.25,21.9621353149414,13.2203540802002,68.8488388061523,190.136688232422,30.1000003814697,10.8979997634888,19.2019996643066,23.517707824707,19.4068756103516,23.7894592285156,19.3474159240723,1442,309,5,104.652503967285,881,18,846,23
"background",48.5833333333333,-15.4166666666667,23.792573928833,11.6700630187988,69.239013671875,203.222961425781,31.888500213623,15.0337495803833,16.8547515869141,25.621000289917,21.1158332824707,25.6280422210693,21.0286254882812,1608,435,4,121.565628051758,1105,15,1096,16
"background",44.75,-17.9166666666667,25.8437614440918,12.2983551025391,68.1897125244141,165.182891845703,33.5112495422363,15.4757499694824,18.0354995727539,27.0117092132568,23.6921253204346,27.242000579834,23.4028339385986,1472,382,2,112.539947509766,951,12,438,12
"background",43.75,-22.75,24.1570205688477,14.0971670150757,66.0381622314453,272.892120361328,33.5017509460449,12.1547498703003,21.3470001220703,26.873291015625,20.3809585571289,26.873291015625,20.3809585571289,669,167,3,111.21549987793,453,13,453,13
"background",43.4166666666667,-22.0833333333333,24.8392391204834,12.7886457443237,66.4207229614258,264.058715820312,32.8759994506836,13.6219997406006,19.253999710083,27.6825008392334,21.3001670837402,27.6825008392334,21.3001670837402,552,163,2,122.513961791992,398,9,398,9
"background",40.5833333333333,-13.75,25.1803188323975,10.5172061920166,72.6532897949219,152.220748901367,31.4864711761475,17.0105876922607,14.4758834838867,26.5576477050781,23.4406852722168,26.6945095062256,23.0662746429443,802,179,3,106.873062133789,518,16,470,27
"background",40.25,-10.5833333333333,25.3915615081787,9.81295871734619,72.7518997192383,134.027694702148,31.527250289917,18.0389995574951,13.4882507324219,26.574333190918,23.7099170684814,26.6989574432373,23.5985832214355,1122,203,12,81.8815383911133,568,49,541,53
"background",46.4166666666667,-17.9166666666667,22.9483127593994,13.220832824707,68.1214065551758,181.162094116211,31.7457504272461,12.3380002975464,19.4077491760254,24.2743759155273,20.2931251525879,24.5382499694824,20.2931251525879,1695,400,4,108.867240905762,1058,16,549,16
"background",46.5833333333333,-25.25,23.9613418579102,12.7041664123535,65.7112045288086,278.509490966797,32.7638893127441,13.4305553436279,19.3333339691162,26.9870376586914,21.992130279541,27.1393527984619,20.3509254455566,687,97,24,46.280345916748,284,89,264,134
"background",40.0833333333333,-13.9166666666667,24.3100833892822,11.2195415496826,73.0236968994141,154.946166992188,31.4044990539551,16.0402507781982,15.3642482757568,25.7037925720215,22.6811256408691,25.7875823974609,22.0655002593994,935,221,3,110.163345336914,608,13,584,21
"background",47.9166666666667,-19.5833333333333,18.3455104827881,10.3422288894653,63.609260559082,261.590759277344,25.9564990997314,9.69750022888184,16.2589988708496,21.0669574737549,16.2690830230713,21.0669574737549,14.9476671218872,1708,308,44,77.8753814697266,884,138,884,153
"background",44.5833333333333,-24.75,24.263521194458,14.3454580307007,65.3857040405273,318.887817382812,34.1424980163574,12.2027502059937,21.9397468566895,27.6300830841064,20.9880409240723,27.6300830841064,20.0586242675781,512,113,6,92.72216796875,312,24,312,31
"background",49.4166666666667,-13.4166666666667,22.8695526123047,10.3200626373291,71.7268753051758,160.60514831543,29.6054992675781,15.2174997329712,14.3879995346069,24.347375869751,20.71875,24.3588333129883,20.7097492218018,1460,293,20,90.913330078125,833,76,802,86
"background",46.9166666666667,-20.9166666666667,18.3302192687988,11.7056455612183,63.3919792175293,262.379486083984,26.8059997558594,8.34049987792969,18.4654998779297,20.980375289917,14.6863746643066,20.980375289917,14.6863746643066,1263,278,15,97.4470977783203,746,49,746,49
"background",44.9166666666667,-19.4166666666667,26.2802715301514,12.9039163589478,64.9335403442383,206.201843261719,34.6937484741211,14.821249961853,19.8724975585938,27.8524589538574,23.2718753814697,28.0746669769287,23.2718753814697,1161,332,2,118.380393981934,791,11,629,11
"background",43.25,-21.75,24.8166675567627,9.22500038146973,58.3860816955566,252.204681396484,31.8999996185303,16.1000003814697,15.7999992370605,27.7000007629395,22,27.841667175293,21.6916675567627,590,170,6,104.711402893066,376,24,364,29
"background",46.25,-24.9166666666667,24.1514682769775,14.7107286453247,67.7398681640625,305.619598388672,33.8767509460449,12.160249710083,21.7165012359619,27.5120010375977,20.8435001373291,27.5120010375977,20.1565418243408,575,97,14,66.3999633789062,285,49,285,78
"background",40.4166666666667,-13.25,25.2304782867432,10.0335836410522,71.2283630371094,146.744857788086,31.4442501068115,17.3577499389648,14.0865001678467,26.4750823974609,24.4837913513184,26.7203750610352,23.1615829467773,893,199,4,97.8972396850586,529,23,330,37
"background",48.0833333333333,-13.9166666666667,25.5424251556396,10.0147676467896,72.4087142944336,126.888206481934,31.5265827178955,17.6956958770752,13.8308868408203,26.4130382537842,23.7586917877197,26.707763671875,23.7586917877197,1953,502,15,103.700508117676,1216,51,805,51
"background",44.5833333333333,-16.25,26.8615665435791,10.5606966018677,69.6547241210938,143.328018188477,33.298210144043,18.1367168426514,15.1614933013916,27.7654724121094,24.7786560058594,28.0806465148926,24.7786560058594,1217,380,1,136.49755859375,923,6,605,6
"background",48.25,-21.0833333333333,23.2309379577637,8.44679164886475,59.2268943786621,232.461959838867,29.7740001678467,15.5122499465942,14.2617502212524,25.806583404541,21.3108749389648,25.8139171600342,20.2744159698486,2623,397,103,48.5864295959473,1144,346,1017,454
"background",44.0833333333333,-18.25,26.0515937805176,11.3349142074585,66.3676834106445,174.957778930664,33.1634483337402,16.0844821929932,17.0789661407471,27.531322479248,23.5166664123535,27.6756896972656,23.5166664123535,1100,324,2,124.888023376465,786,10,588,10
"background",48.75,-16.25,20.0585842132568,11.3955421447754,66.7694473266602,235.270584106445,28.3320007324219,11.2650003433228,17.0670013427734,22.3810005187988,17.9402084350586,22.468334197998,16.9914169311523,1313,332,10,110.136009216309,848,44,842,55
"background",48.0833333333333,-15.0833333333333,25.8194160461426,12.0047082901001,70.6606140136719,159.446563720703,33.6599998474121,16.6707496643066,16.9892501831055,27.0226669311523,23.5122089385986,27.1922073364258,23.5122089385986,1589,463,1,125.872802734375,1120,6,837,6
"background",44.25,-20.5833333333333,25.2778644561768,11.7015628814697,63.9604415893555,241.468704223633,32.6287498474121,14.3337497711182,18.2950000762939,27.675874710083,21.9720420837402,27.675874710083,21.9720420837402,758,236,1,132.431411743164,576,5,576,5
"background",44.0833333333333,-23.9166666666667,24.7199687957764,15.1936864852905,65.6343078613281,319.345764160156,34.9542503356934,11.8052501678467,23.1490001678467,27.8529167175293,21.5370826721191,27.8579158782959,20.4169998168945,575,145,4,106.312019348145,380,18,319,20
"background",44.75,-22.5833333333333,23.1064586639404,14.771541595459,65.4462356567383,270.262969970703,33.3014984130859,10.7309999465942,22.570499420166,25.5718746185303,19.2863330841064,25.7084159851074,19.2863330841064,743,192,5,108.661094665527,490,20,429,20
"background",45.4166666666667,-24.9166666666667,24.1195621490479,13.6500415802002,64.5544586181641,311.615081787109,33.5190010070801,12.3739995956421,21.1450004577637,27.3800830841064,20.8805408477783,27.3800830841064,19.955041885376,530,108,7,86.8580017089844,313,27,313,42
"background",43.5833333333333,-11.9166666666667,25.9158325195312,8.39166641235352,68.003776550293,138.027938842773,31.4200000762939,19.0799999237061,12.3400001525879,27.2566661834717,24.6066665649414,27.2799987792969,24.0799999237061,2186,367,41,51.2051200866699,896,226,838,287
"background",48.9166666666667,-13.25,26.7143592834473,10.4780082702637,70.1475677490234,131.190292358398,33.3538856506348,18.4167919158936,14.9370937347412,27.5591487884521,24.9832077026367,27.7513790130615,24.8174591064453,1863,473,15,110.961418151855,1210,48,880,52
"background",45.0833333333333,-12.75,25.3302326202393,8.25484466552734,68.5876693725586,123.540542602539,30.5877914428711,18.5523262023926,12.0354652404785,26.466667175293,23.8429260253906,26.5243225097656,23.5800380706787,1407,317,22,81.7172317504883,757,70,573,79
"background",46.75,-18.75,19.8913745880127,12.3802080154419,68.6426010131836,199.628189086914,27.7224998474121,9.6867504119873,18.0357494354248,21.6187076568604,17.0858745574951,21.7552089691162,17.0858745574951,1553,361,5,106.627075195312,941,16,941,16
"background",44.75,-16.9166666666667,26.1994590759277,11.6319160461426,68.7750091552734,152.258941650391,33.431999206543,16.5190010070801,16.9129981994629,27.1494998931885,23.966625213623,27.5105419158936,23.966625213623,1322,377,1,124.795639038086,932,8,663,8
"background",49.75,-15.0833333333333,22.2408027648926,8.95043754577637,63.4501571655273,218.118881225586,29.3487491607666,15.2425003051758,14.1062488555908,24.6342926025391,21.4287490844727,24.6342926025391,19.3493328094482,2617,369,78,47.1664962768555,1052,289,1052,403
"background",40.25,-15.9166666666667,25.654167175293,10.6750001907349,65.6848297119141,204.228500366211,33.2351837158203,16.9833335876465,16.2518501281738,27.4345684051514,24.6185188293457,27.6901245117188,22.8012351989746,927,203,3,93.0527038574219,551,33,371,72
"background",51.0833333333333,-10.25,26.2986106872559,5.75833320617676,67.7450942993164,115.617492675781,30.5,22,8.5,27.3999996185303,25.1111106872559,27.466667175293,24.783332824707,1135,208,37,61.2065238952637,534,128,514,148
"background",50.0833333333333,-14.75,24.4494476318359,8.20014572143555,62.1529273986816,194.076675415039,31.1197490692139,17.9262504577637,13.1934986114502,26.6512908935547,23.641040802002,26.6512908935547,21.9622917175293,2739,345,103,36.6171951293945,990,350,990,519
"background",47.9166666666667,-14.75,26.3179569244385,10.9569292068481,74.2240982055664,116.163673400879,32.9442939758301,18.182336807251,14.7619571685791,27.0380439758301,24.6198825836182,27.2274913787842,24.6198825836182,1556,441,3,120.799125671387,1074,12,818,12
"background",46.75,-18.5833333333333,19.8620109558105,12.4537706375122,68.1707305908203,203.851181030273,27.8525009155273,9.58399963378906,18.2685012817383,21.7023334503174,16.9597091674805,21.7023334503174,16.9597091674805,1579,369,5,106.670600891113,963,17,963,17
"background",48.75,-20.0833333333333,23.8543224334717,8.0404634475708,58.5136451721191,228.451202392578,30.3069515228271,16.5657749176025,13.7411766052246,26.4152412414551,23.2661323547363,26.4152412414551,20.9577541351318,2773,422,77,47.8343391418457,1165,323,1165,537
"background",45.75,-17.25,24.2905731201172,13.5250205993652,68.4637832641602,162.17594909668,33.1432495117188,13.3882503509521,19.7549991607666,25.3221664428711,22.2021656036377,25.8168754577637,21.919584274292,1538,410,2,111.205337524414,977,15,447,15
"background",44.5833333333333,-18.5833333333333,25.9111251831055,12.3622913360596,66.9371719360352,179.400741577148,33.7197494506836,15.2512502670288,18.4684982299805,27.2587509155273,23.5875415802002,27.4362506866455,23.273416519165,1216,332,2,117.356590270996,831,12,648,12
"background",46.4166666666667,-23.25,18.5344066619873,11.6244792938232,62.9754371643066,270.388854980469,27.0445003509521,8.58574962615967,18.4587516784668,21.2379169464111,15.6310005187988,21.2379169464111,14.8174171447754,1099,230,15,91.3458862304688,646,56,646,63
"background",48.25,-17.9166666666667,21.0968017578125,12.5431871414185,66.953239440918,249.783477783203,29.8577499389648,11.1234998703003,18.7342491149902,23.6836242675781,17.9477081298828,23.6836242675781,17.7830829620361,1189,285,8,107.035591125488,750,30,750,35
"background",45.0833333333333,-19.25,24.8958435058594,12.9243125915527,65.7675628662109,195.705947875977,33.3507499694824,13.6992502212524,19.6515007019043,26.3764152526855,22.0221672058105,26.5631256103516,22.0221672058105,1309,355,3,114.024993896484,866,12,705,12
"background",44.25,-23.5833333333333,24.6430416107178,15.1298751831055,65.28955078125,317.947113037109,34.8680000305176,11.6944999694824,23.1735000610352,27.6825408935547,21.3731670379639,27.6905002593994,20.25,618,160,4,108.34334564209,411,17,352,18
"background",44.4166666666667,-24.0833333333333,24.0576877593994,15.578332901001,66.2449798583984,318.535430908203,34.5934982299805,11.0772504806519,23.5162467956543,27.2007503509521,20.8760414123535,27.2007503509521,19.7740421295166,601,149,5,104.58797454834,392,19,392,23
"background",48.9166666666667,-19.5833333333333,23.8645248413086,8.34961032867432,60.586483001709,219.012344360352,30.3542060852051,16.5728969573975,13.7813091278076,26.3655757904053,23.1869163513184,26.3655757904053,21.1605911254883,2856,443,80,47.0476684570312,1191,333,1191,589
"background",46.5833333333333,-17.75,23.1550617218018,13.2186250686646,68.6360931396484,174.727737426758,32.0267486572266,12.767749786377,19.2589988708496,24.4081249237061,20.5985012054443,24.7289161682129,20.5985012054443,1691,410,3,111.122917175293,1079,12,551,12
"background",40.0833333333333,-16.25,26.2999992370605,10.7461528778076,64.5563812255859,217.328308105469,33.9615364074707,17.3153839111328,16.6461524963379,28.2935886383057,25.047435760498,28.4551277160645,23.2705135345459,994,216,5,92.5298843383789,587,41,536,76
"background",46.4166666666667,-16.25,26.7721977233887,12.7960634231567,69.1072082519531,150.546783447266,35.2937507629395,16.7775001525879,18.5162506103516,27.5176677703857,24.9989585876465,28.3171672821045,24.5797080993652,1505,439,5,121.238243103027,1042,18,357,18
"background",48.5833333333333,-14.9166666666667,20.8610305786133,12.2584791183472,72.0885543823242,189.307373046875,29.0174999237061,12.012749671936,17.0047492980957,22.5563335418701,19.3154163360596,22.5563335418701,18.2127075195312,1509,380,7,114.567771911621,990,26,990,26
